ANO DE REFERENCIA;TOTAL;DESPESAS CORRENTES;PESSOAL E ENCARGOS SOCIAIS;JUROS E ENCARGOS DA DIVIDA;OUTRAS DESPESAS CORRENTES;TRANSFERENCIAS A ESTADOS, DF E MUNICIPIOS;BENEFICIOS PREVIDENCIARIOS;DEMAIS DESPESAS CORRENTES;DESPESAS DE CAPITAL;INVESTIMENTOS;INVERSOES FINANCEIRAS;AMORTIZACAO DA DIVIDA;REFINANCIAMENTO;REFINANCIAMENTO DA DIVIDA MOBILIARIA;REFINANCIAMENTO DA DIVIDA CONTRATUAL;OUTRAS DESPESAS DE CAPITAL
1998;500.182.397.556,51;199.342.122.731,58;47.946.551.537,23;30.812.498.779,33;120.583.072.415,02;37.509.187.012,67;53.510.900.801,40;29.562.984.600,95;104.100.142.198,06;8.284.569.770,07;71.343.850.528,29;24.410.777.405,60;196.740.132.626,87;192.940.310.738,69;3.799.821.888,18;60.944.494,10
1999;588.535.656.712,71;228.335.463.370,45;51.571.042.513,23;45.355.563.793,32;131.408.857.063,90;41.919.152.923,91;58.158.637.129,83;31.331.067.010,16;90.957.782.385,93;6.955.350.051,93;56.821.511.696,94;27.180.920.637,06;269.242.410.956,33;263.405.973.392,40;5.836.437.563,93; -   
2000;616.382.515.529,14;250.001.064.290,56;58.240.660.489,99;38.834.849.503,85;152.925.554.296,72;51.575.262.347,48;64.710.434.115,53;36.639.857.833,71;65.419.504.501,78;10.099.093.683,84;11.420.752.968,27;43.899.657.849,67;300.961.946.736,80;294.165.847.586,49;6.796.099.150,31; -   
2001;603.434.864.215,52;293.726.970.764,78;65.449.398.568,83;52.816.427.961,69;175.461.144.234,26;59.841.191.810,20;74.857.372.911,30;40.762.579.512,76;89.662.239.604,05;14.580.419.338,55;20.446.116.304,03;54.635.703.961,47;220.045.653.846,69;210.661.262.346,58;9.384.391.500,11; -   
2002;674.928.089.894,83;339.072.729.009,15;75.029.037.158,24;55.260.683.322,12;208.783.008.528,79;73.565.222.103,09;87.588.385.028,92;47.629.401.396,78;100.024.297.740,75;10.126.830.836,63;20.936.187.952,08;68.961.278.952,04;235.831.063.144,93;228.954.696.560,39;6.876.366.584,54; -   
2003;872.456.652.308,92;383.919.189.042,57;78.974.749.646,26;65.706.834.037,86;239.237.605.358,45;80.194.756.683,92;108.477.511.642,03;50.565.337.032,50;109.443.735.717,95;6.452.131.384,70;23.440.686.592,49;79.550.917.740,76;379.093.727.548,40;370.405.133.417,93;8.688.594.130,47; -   
2004;908.177.768.890,21;439.710.796.631,57;89.431.566.169,91;74.373.387.099,76;275.905.843.361,90;92.335.629.636,55;122.976.197.420,41;60.594.016.304,94;104.048.966.308,21;10.865.980.149,14;21.580.671.763,65;71.602.314.395,42;364.418.005.950,43;356.851.139.976,99;7.566.865.973,44; -   
2005;1.106.788.198.211,24;518.532.328.033,20;94.068.460.584,64;89.839.644.291,51;334.624.223.157,05;117.708.046.307,93;142.485.443.772,08;74.430.733.077,04;88.400.384.653,55;17.322.104.956,15;21.827.056.811,52;49.251.222.885,88;499.855.485.524,49;495.579.152.345,17;4.276.333.179,32; -   
2006;1.174.668.380.186,24;630.645.302.067,82;107.053.271.516,84;151.151.879.811,90;372.440.150.739,08;126.856.412.778,62;161.746.633.685,07;83.837.104.275,39;167.190.155.143,42;19.595.814.224,45;26.664.882.795,48;120.929.458.123,49;376.832.922.975,00;372.926.090.997,54;3.906.831.977,46; -   
2007;1.165.493.791.893,96;657.267.239.360,84;116.668.821.896,49;140.078.869.860,18;400.519.547.604,17;136.429.676.684,17;177.712.767.722,94;86.377.103.197,06;133.443.236.252,07;10.003.516.983,77;26.581.719.376,84;96.857.999.891,46;374.783.316.281,05;374.611.473.571,28;171.842.709,77; -   
2008;1.195.381.784.689,12;699.712.278.696,52;133.133.230.318,49;110.168.275.749,73;456.410.772.628,30;168.178.180.983,60;195.355.751.720,62;92.876.839.924,08;217.908.711.380,31;9.774.498.752,65;37.152.160.307,21;170.982.052.320,45;277.760.794.612,29;276.292.864.582,59;1.467.930.029,70; -   
2009;1.334.930.904.205,05;776.160.652.790,19;153.808.481.881,60;124.180.424.433,10;498.171.746.475,49;166.914.233.783,15;218.693.863.974,60;112.563.648.717,74;293.128.192.015,45;14.977.895.031,17;26.062.236.715,97;252.088.060.268,31;265.642.059.399,41;261.590.512.201,00;4.051.547.198,41; -   
2010;1.417.560.450.094,07;851.397.220.863,28;168.861.606.957,25;122.018.856.725,69;560.516.757.180,34;187.100.367.373,80;246.321.773.098,59;127.094.616.707,95;192.725.609.342,57;23.757.443.105,08;29.069.163.045,61;139.899.003.191,88;373.437.619.888,22;370.976.401.473,98;2.461.218.414,24; -   
2011;1.574.392.253.367,54;948.736.269.915,16;181.833.613.344,68;131.036.556.537,53;635.866.100.032,95;173.391.880.915,47;273.981.476.501,29;188.492.742.616,19;146.287.658.622,25;17.071.402.048,18;31.588.384.929,28;97.627.871.644,79;479.368.324.830,13;467.814.225.411,20;11.554.099.418,93; -   
2012;1.712.330.299.797,85;1.032.074.038.717,10;188.771.336.195,71;134.079.856.058,66;709.222.846.462,73;183.357.004.131,11;310.006.426.360,99;215.859.415.970,63;381.266.569.074,24;22.083.690.386,82;39.230.648.955,82;319.952.229.731,60;298.989.692.006,51;297.164.997.037,02;1.824.694.969,49; -   
2013;1.667.660.463.125,77;1.042.545.643.574,89;185.986.618.197,66;137.766.197.405,96;718.792.827.971,27;171.452.012.528,21;328.202.794.760,40;219.138.020.682,66;134.292.294.398,55;14.540.799.007,83;41.459.761.273,37;78.291.734.117,35;490.822.525.152,33;484.524.994.152,39;6.297.530.999,94; -   
2014;2.159.760.401.879,21;1.271.865.188.770,64;220.201.006.005,24;170.350.506.798,41;881.313.675.966,99;204.660.596.746,61;390.011.595.961,97;286.641.483.258,41;271.077.127.524,40;21.567.719.016,19;58.757.136.739,65;190.752.271.768,56;616.818.085.584,17;614.854.065.632,00;1.964.019.952,17; -   
2015;2.218.151.996.727,68;1.399.017.922.507,00;235.452.588.430,57;208.360.341.749,48;955.204.992.326,95;213.859.550.580,17;402.864.916.983,23;338.480.524.763,55;247.502.335.671,31;9.634.833.074,37;55.915.627.251,14;181.951.875.345,80;571.631.738.549,37;569.108.356.331,01;2.523.382.218,36; -   
2016;2.528.998.459.178,82;1.522.301.017.317,00;255.285.135.380,53;204.890.863.484,56;1.062.125.018.451,91;239.418.603.820,43;481.153.516.198,50;341.552.898.432,98;352.798.669.506,28;16.804.868.828,00;64.633.768.537,82;271.360.032.140,45;653.898.772.355,55;650.571.200.178,54;3.327.572.177,01; -   
2017;2.440.860.509.986,90;1.582.241.464.541,77;280.696.660.645,63;203.108.884.594,80;1.098.435.919.301,34;236.580.782.131,44;528.105.737.252,44;333.749.399.917,46;391.629.778.010,25;18.420.204.620,10;57.196.892.038,69;316.012.681.351,46;466.989.267.434,88;458.414.994.031,71;8.574.273.403,17;-
